pdb_id,bmrb_ids
1wnm,6157;6293
1wnn,6155;6294
1wo3,6329
1wo4,6328
1wo5,6327
1wo6,6326
1wo7,6325
1wpd,6347
1wqk,6370
1wrg,6350
1wso,5994
1wt7,6389
1wt8,6037
1wxn,6467
1wz4,6557
1x22,5749
1x32,6589
1x5v,6636
1x9b,6291
1x9v,4257
1xgl,1344
1xkm,6499
1xr0,4790
1xrd,6349
1xsw,6351
1xt7,6420
1xut,6384
1xv3,6388
1xxz,6421
1xy4,6422
1xy5,6423
1xy6,6424
1xy8,6425
1xy9,6426
1y03,6427
1y04,6427
1y0j,4423
1y1b,6386
1y1c,6387
1y4e,6446
1y58,6463
1y5c,6462
1yiu,6459
1ymz,6530
1yt6,6511
1ytr,6561
1ywi,6558;6559
1ywj,6558
1yyb,6556
1z0q,6554
1z0r,4281
1z65,6598
1z9i,6579
1za8,6596
1zjq,6654
1zlc,6720
1zn5,5877
1znt,6656
1znu,6627
1zr7,6721
1zrp,5601
1zsg,6777
1ztn,4476
1zuv,6656
1zxh,6679
2a05,6740
2a1c,6714
2a2b,6737
2a4j,5503;5992
2a93,4200
2a9h,6728
2aap,6654
2aff,6748
2agh,6095;6750
2aiz,6465;6856;6858
2ajj,6757
2ajm,6757
2ajn,6757
2ajo,6757
2ajw,6818
2ak0,6817
2amn,6835
2ap7,6774
2ap8,6775
2ari,6867
2atg,6815
2axk,6924
2b38,6872
2b68,6849
2b6g,6956
2b87,6806
2b88,6804
2b89,6805
2bai,6863
2bbg,4211
2bbl,6898
2bbp,6898
2bbu,6580
2bbx,6865
2bc7,6897
2bc8,6896
2bds,480
2beg,5057
2bic,6520
2bjc,7354
2bl6,7352
2bmt,4191
2bn5,6690
2btx,4195
2bug,6696
2bus,53
2c06,6925
2cbh,192
2cef,6993
2ceh,6991
2cez,6996
2cfj,6998
2cpb,4197;4209
2cps,4197
2crd,114
2czp,10001
2czy,6749
2dah,11271
2dci,6954
2dez,7006
2df0,7005
2dj9,7050
2djc,7051
2dq5,7124
2dt7,11365
2dwf,6741
2dwv,10028
2dyf,6721
2e2f,6729
2e45,7365
2e4e,15107
2e8d,10022
2ec7,7384
2ech,2204
2ecj,11341
2ecm,11343
2eem,15140
2efz,15195
2elk,10150
2em1,10166
2em2,10167
2em3,10168
2em4,10179
2em5,10196
2em6,10197
2em7,10180
2em8,10198
2em9,10181
2ema,10199
2emb,10200
2emc,10201
2eme,10182
2emf,10183
2emg,10184
2emh,10202
2emi,10203
2emj,10204
2emk,10205
2eml,10303
2emm,10304
2emp,10305
2emv,10224
2emw,10225
2emx,10226
2emy,10227
2emz,10228
2en0,10229
2en1,10230
2en2,10231
2en3,10232
2en4,10233
2en6,10151
2en7,10152
2en8,10169
2en9,10170
2ena,10171
2enc,10172
2ene,10173
2enf,10174
2enh,10175
2eoe,11167
2eof,10216
2eog,10217
2eoh,10206
2eoi,11165
2eoj,10218
2eok,10219
2eol,11166
2eom,10189
2eon,10220
2eop,10191
2eoq,10192
2eor,10221
2eos,10157
2eou,10158
2eov,10153
2eow,10207
2eox,10208
2eoy,10154
2eoz,10209
2ep0,10210
2ep1,11169
2ep2,10155
2ep3,11170
2epq,11378
2epr,11379
2eps,11380
2err,6895
2esy,6892
2eti,397
2ew4,6891
2ewl,6916
2f8b,6916
2fho,11366;11367
2flg,7010
2fqa,6952
2fqc,6951
2frw,7035
2fs1,6945
2fxp,6969
2fxy,7012
2fxz,7011
2fy9,6826
2g35,7061
2g3q,7002
2g46,6997
2g57,7001
2g9j,7080
2g9l,7065
2gj0,7064
2gkd,6726
2gl1,7092
2glo,7097
2gmc,6437
2gmd,6437
2gqe,7158
2gs0,6225
2gw9,6264
2gx1,7186
2h1z,7117
2h3s,7233
2h3t,7232
2h4b,7233
2h7d,7150
2h7e,7150
2h8s,7177
2h9x,7166
2hgh,7194
2hiu,1344
2hn8,7258
2hug,7241
2i1d,15051
2i1e,15040
2i1f,15041
2i1g,15042
2i1h,15043
2i1i,15044
2i1p,7263
2i1t,7273
2i2h,15069
2i2j,15068
2i5o,15160
2i94,7293
2i9m,7282
2i9n,7283
2i9o,7284
2igz,7294;7295
2iij,6298
2ike,15106
2imu,15108
2it8,7361
2iwj,7342
2j0z,7251
2j10,7252
2j11,7252
2j15,7341
2j5d,7288
2j5h,7299
2jm0,15000
2jm2,7262
2jma,7306
2jmf,15016
2jmx,15072
2jmy,15099
2jn5,15095
2jnh,15111
2jni,15115
2jnr,15124
2jo5,15392
2jo9,15153
2joa,15154
2joc,15159
2jod,15166
2jof,15169
2jot,15382
2jou,6741
2jp5,15218
2jp9,15532
2jpa,15533
2jpj,15259
2jpk,15261
2jpl,15259
2jpm,15261
2jpp,15257
2jq2,15267
2jq8,15271
2jqb,15272
2jqc,15273
2jqw,15302
2jr3,15318
2jr8,15323
2jrd,15390
2jsb,15359
2jtt,15418
2jum,15450
2jup,15453
2juu,15454
2juv,15455
2jv1,15464
2jv4,15466
